distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3,target
14.539,1087,7.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,9.471702,0.0,0.0,1.0,13.0,4.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,32.0,49.246433203631646,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,24.0,29.0,14.0,5.0,6.0,4.0,0.0,0.0,5.0,16.0,13.0,1.0,0
15.5443,1665,13.0,5.0,7.0,1.0,7.0,0.0,7.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,11.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,41.0,32.15183044315992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,44.0,30.0,4.0,0.0,4.0,3.0,0.0,0.0,5.0,7.0,8.0,5.0,0
1.23837,188,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.590578,0.590578,0.0,0.0,1.0,19.0,3.0,0.0,0.0,0.0,4.0,7.0,5.0,3.0,7.0,25.02266288951841,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,10.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
29.3067,2212,12.0,3.0,8.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,6.067789,0.109553,0.0,2.0,81.0,27.0,25.0,17.0,14.0,7.0,6.0,6.0,6.0,46.0,44.51587301587302,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,32.0,40.0,17.0,4.0,7.0,6.0,0.0,0.0,9.0,11.0,6.0,6.0,0
28.7997,2092,18.0,9.0,7.0,2.0,8.0,0.0,8.0,0.0,12.0,6.0,6.0,0.0,0.099343,2.461298,0.0,0.0,1.0,48.0,10.0,11.0,9.0,8.0,8.0,4.0,3.0,5.0,41.0,43.64582682088152,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,39.0,38.0,15.0,2.0,8.0,7.0,0.0,0.0,6.0,6.0,2.0,3.0,0
28.6448,2202,19.0,7.0,9.0,3.0,5.0,1.0,4.0,0.0,3.0,1.0,2.0,0.0,0.388831,4.75267,0.0,0.0,1.0,95.0,21.0,28.0,29.0,18.0,6.0,4.0,3.0,7.0,43.0,45.39054404145077,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,37.0,46.0,24.0,3.0,7.0,6.0,0.0,0.0,8.0,12.0,16.0,12.0,0
23.8994,1733,16.0,5.0,8.0,3.0,4.0,0.0,4.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,11.0,11.0,7.0,2.0,3.0,6.0,13.0,10.0,41.0,39.08048433048433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,45.0,35.0,12.0,0.0,7.0,6.0,0.0,0.0,4.0,7.0,8.0,6.0,0
5.50696,396,8.0,2.0,5.0,0.0,5.0,0.0,4.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,4.0,5.0,7.0,5.0,3.0,3.0,1.0,0.0,9.0,40.84583333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0
4.38732,468,8.0,2.0,5.0,0.0,5.0,0.0,4.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,6.0,9.0,10.0,13.0,10.0,3.0,1.0,15.0,32.77121374865736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,15.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,6.0,7.0,5.0,0
1.23948,159,8.0,2.0,5.0,0.0,5.0,0.0,4.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,30.10542168674699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1
