trip_start,trip_end,distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,over_speed_limit,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
2021-04-22T06:14:23+00:00,2021-04-22T07:14:33+00:00,69.5371,3610,7.0,0.0,7.0,0.0,100.0,5.0,94.0,1.0,38.0,6.0,32.0,0.0,,,0.0,37.024973,0.970752,0.0,8.0,day,139.0,36.0,52.0,39.0,26.0,13.0,3.0,1.0,5.0,388.200019,19.0,0.0,0.0,0.0,24.0,27.0,68.0,64.31586021505376,,0.0,12.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,75.0,98.0,71.0,13.0,6.0,5.0,0.0,0.0,7.0,27.0,35.0,21.0
2021-04-22T06:51:32+00:00,2021-04-22T06:51:43+00:00,0.0,11,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.764687,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22T07:12:33+00:00,2021-04-22T07:51:07+00:00,40.4123,2314,21.0,0.0,21.0,0.0,24.0,0.0,24.0,0.0,9.0,0.0,9.0,0.0,,,0.0,0.10345,0.099589,0.0,1.0,day,46.0,24.0,26.0,7.0,5.0,4.0,2.0,1.0,1.0,2309.281805,17.0,0.0,0.0,0.0,9.0,7.0,50.0,53.03803314316762,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,47.0,35.0,12.0,1.0,4.0,3.0,0.0,0.0,6.0,9.0,5.0,3.0
2021-04-22T07:18:57+00:00,2021-04-22T07:31:01+00:00,9.70028,724,12.0,1.0,11.0,0.0,14.0,0.0,14.0,0.0,42.0,10.0,32.0,0.0,,,0.0,0.0,0.585178,0.0,1.0,day,15.0,4.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,655.894242,1.0,0.0,0.0,0.0,6.0,5.0,0.0,47.838467943380515,,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,6.0,4.0
2021-04-22T07:35:37+00:00,2021-04-22T08:08:12+00:00,30.5332,1955,6.0,0.0,6.0,0.0,73.0,2.0,71.0,0.0,36.0,7.0,29.0,0.0,,,0.0,0.389903,0.0,0.0,3.0,day,76.0,20.0,30.0,29.0,13.0,2.0,1.0,1.0,0.0,1949.819923,5.0,0.0,0.0,0.0,18.0,11.0,56.0,51.97955607476636,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,46.0,37.0,14.0,1.0,1.0,0.0,0.0,0.0,11.0,22.0,20.0,10.0
2021-04-22T07:54:22+00:00,2021-04-22T08:31:55+00:00,23.5221,2253,22.0,0.0,22.0,0.0,23.0,1.0,22.0,0.0,21.0,0.0,21.0,0.0,,,0.0,0.0,0.612295,0.0,0.0,day,45.0,15.0,21.0,14.0,2.0,1.0,1.0,1.0,5.0,1879.694419,12.0,0.0,0.0,0.0,10.0,7.0,54.0,42.12044983722995,,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,26.0,20.0,7.0,0.0,5.0,4.0,0.0,0.0,7.0,12.0,14.0,8.0
2021-04-22T08:14:57+00:00,2021-04-22T08:15:05+00:00,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-22T08:15:38+00:00,2021-04-22T08:15:45+00:00,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-22T08:30:01+00:00,2021-04-22T08:30:09+00:00,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-22T08:33:06+00:00,2021-04-22T09:06:03+00:00,34.7268,1977,8.0,0.0,8.0,0.0,48.0,1.0,47.0,0.0,26.0,2.0,24.0,0.0,,,0.0,19.25665,0.7508,0.0,1.0,day,135.0,27.0,40.0,39.0,30.0,16.0,6.0,3.0,1.0,1973.783415,13.0,0.0,0.0,0.0,12.0,9.0,37.0,58.17363154796939,,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,13.0,23.0,13.0,4.0,2.0,1.0,0.0,0.0,5.0,24.0,32.0,18.0
